PI,Phenotype
ZJ-Y314,NA
PI_578357,NA
PI_366120,NA
PI_562565,NA
PI_339871A,NA
PI_393551,NA
ZJ-Y108,NA
ZJ-Y2300-1,NA
PI_593983,NA
PI_407027,NA
PI_562559,NA
PI_597459C,NA
ZJ-Y155,NA
PI_447004,NA
PI_423991,NA
PI_407170,NA
PI_407131,NA
PI_597461C,NA
ZJ-Y188,NA
PI_479752,NA
PI_468916,NA
PI_366123,NA
PI_458536,NA
PI_407197,NA
ZJ-Y191,NA
PI_522182B,2
PI_483460B,NA
PI_378692,NA
PI_464929A,NA
PI_407246,NA
PI_464935,NA
ZJ-Y200,NA
PI_522228,2
PI_483464A,NA
PI_407275,NA
PI_464929B,NA
PI_407301,NA
PI_326582A,NA
PI_522216,2
PI_468400A,NA
PI_479769,NA
PI_424096,NA
ZJ-Y217,NA
PI_504286,NA
PI_458538,NA
PI_458535,NA
PI_407285,NA
ZJ-ZY020,NA
ZJ-Y282,NA
PI_407288,NA
PI_578341,NA
PI_549046,1
PI_464927A,NA
PI_483465,NA
PI_507662,NA
ZJ-YJ038,NA
PI_547831,2
PI_597459D,NA
PI_597461A,NA
PI_522226,2
ZJ-YJ086,NA
PI_339734,1
Xiao_Bai_Dou,NA
PI_594615,NA
Yu_Shi_Dou,NA
PI_548445,2
You_Pi_Zhi_Hei_Dou,NA
PI_196166,2
PI_467343,NA
Dong_Shan_Bai_Ma_Dou,NA
Sha_Xin_Dou,NA
Long_quan_Da_Dou,NA
PI_603384,2
Qing_Dou,NA
Nan_Guan_Xiao_PI_Qing,NA
PI_416971,1
PI_594777,2
PI_548342,2
PI_548485,2
Xia_Hei_Dou,NA
PI_Xian_Da_Zi_Huo_Cao,NA
PI_507355,2
PI_587552,2
Yu_Jiang_Wu_Yue_Niu_Mao_Huang,NA
Da_Li_Huang,NA
PI_603336,2
PI_437321,NA
PI_603596,2
Tian_E_Dan,NA
PI_602991,2
PI_407801,2
PI_Xian_Nian_Zhuang_Liu_Yue_Xian,NA
Yi_Zheng_Da_Li_Huang_Dou,NA
PI_398296,2
Da_Qing_Ren,NA
PI_603420,1
Hu_Pi_Dou,NA
Xiang_Dou_No_4,NA
PI_437654,1
Da_Tun_Xiao_Hei_Dou,NA
PI_437679,NA
PI_548417,2
PI_80837,2
PI_594788,NA
PI_594301,2
PI_578457A,1
Tai_Xin_Niu_Mao_Huang_Yi,NA
Xia_Men_Teng_Zai_Dou,NA
PI_603756,2
PI_80822,NA
PI_438498,NA
PI_548391,1
PI_548379,1
PI_153262,NA
PI_567298,2
PI_603318,1
PI_437653,NA
Tong_an_Zi_Hong_Dou,NA
PI_88479,NA
Hong_Zhu_Dou,NA
Jin_Shan_Cha_Zhu_Shi_Dou,NA
He_Dou,NA
PI_567189A,2
PI_548406,NA
PI_84631,2
Xiao_Bai_Qi,NA
PI_323576,NA
PI_548382,NA
PI_416890,NA
PI_587752,2
PI_424391,2
Pei_Xian_Xiao_You_Dou,NA
PI_603357,2
Hong_Hu_Liu_Yue_Bao,NA
PI_437944,NA
Sha_Xian_Qin_Dou,NA
PI_157421,1
Ji_Shan_De_Da_Li_Hei_Dou,NA
Bai_Mao_Dou,NA
PI_567364,1
PI_84987,2
PI_548298,1
PI_423967,NA
PI_548488,1
Guang_Rao_Da_Qing_Dou,NA
PI_423954,2
PI_587848,NA
PI_587666,1
Ni_Dou,NA
Sha_Xian_Wu_Dou,NA
PI_399043,2
Ni_Ding_Hua_Mei_Dou,NA
PI_84987A,1
PI_567395,1
PI_317334A,2
Xiao_Huang_Dou,NA
PI_548456,2
PI_603424A,1
PI_588053A,2
PI_594629,2
PI_83945-3,NA
Jin_Huang_No_35,NA
PI_567258,NA
PI_404182,1
Nian_Shi_Huang_Dou,NA
PI_86024,2
PI_567503,NA
PI_317336,NA
Xiao_Mi_Dou,NA
PI_594579,2
Xin_Xian_Xiao_Huang_Dou,NA
PI_253658B,1
PI_603516,2
PI_567071A,NA
Dai_Mi_Dou,NA
PI_567293,1
PI_407849,2
